Date,Algeria,Argentina,Colombia,Kenya,Spain,Sudan
4/03/2020,0.114,0.022,,,5.711,
6/03/2020,0.388,0.044,nan,nan,11.357,
7/03/2020,,0.177,0.02,,16.340999999999998,
8/03/2020,,0.199,nan,,23.399,
9/03/2020,0.456,0.266,nan,,32.66,
11/03/2020,,0.42,nan,,70.025,
13/03/2020,0.57,0.6859999999999999,nan,,127.431,
14/03/2020,0.593,0.752,0.314,0.019,163.42700000000005,0.023
15/03/2020,0.8440000000000001,0.996,0.6679999999999999,0.019,209.283,0.023
16/03/2020,1.095,1.239,0.884,0.056,245.772,0.023
17/03/2020,1.3230000000000002,1.4380000000000002,1.12,0.056,299.306,0.023
18/03/2020,1.368,1.7480000000000002,1.277,0.07400000000000001,378.314,0.023
19/03/2020,1.642,2.146,2.005,0.13,464.872,0.046
20/03/2020,2.052,2.832,2.516,0.13,562.595,0.046
21/03/2020,2.326,3.4960000000000004,3.105,0.13,679.075,0.046
22/03/2020,3.17,4.978,4.127,0.13,783.15,0.046
23/03/2020,4.584,5.886,4.618,0.279,882.5189999999999,0.046
24/03/2020,5.245,6.66,6.0139999999999985,0.298,1047.016,0.046
25/03/2020,6.02,8.562999999999999,7.4289999999999985,0.465,1229.9489999999996,0.068
26/03/2020,6.8870000000000005,11.107,9.237,0.465,1421.4589999999996,0.068
27/03/2020,8.369,13.032,9.65,0.5770000000000001,1617.8239999999996,0.068
28/03/2020,9.327,15.267,10.593,0.5770000000000001,1794.148,0.068
29/03/2020,10.353,16.484,11.949000000000002,0.7070000000000001,1931.546,0.114
30/03/2020,11.653,18.143,13.796,0.7809999999999999,2055.875,0.114
31/03/2020,13.318,21.374,15.683,0.93,2230.082000000001,0.13699999999999998
1/04/2020,16.328,21.374,17.805999999999994,1.097,2388.633,0.16
2/04/2020,19.315,25.069000000000006,20.93,1.506,2550.819,0.16
3/04/2020,22.485,25.069000000000006,22.817,2.046,2706.3540000000007,0.16
4/04/2020,26.704,27.989,24.9,2.269,2848.864,0.16
5/04/2020,28.528,32.105,27.632,2.343,2967.204,0.228
6/04/2020,30.102,34.384,29.185,2.641,3045.635,0.274
7/04/2020,32.451,36.021,31.032,2.938,3157.046,0.274
8/04/2020,33.477,37.946,34.982,3.199,3276.456,0.319
9/04/2020,35.84900000000001,39.716,40.367,3.329,3399.331,0.319
10/04/2020,37.992,41.907,43.68899999999999,3.422,3496.37,0.319
11/04/2020,40.159,43.699,48.602,3.515,3593.686,0.342
12/04/2020,41.618,47.283,53.24,3.552,3677.078,0.433
13/04/2020,43.648,48.743,54.557,3.664,3741.885,0.433
14/04/2020,45.221,50.27,56.05,3.868,3808.53,0.6609999999999999
15/04/2020,47.205,53.81,58.54600000000001,4.017,3903.151,0.73
16/04/2020,49.258,53.81,61.022,4.184,3984.854,0.73
17/04/2020,51.721,56.642,63.538,4.352,4066.514,0.73
18/04/2020,55.14100000000001,58.81100000000001,67.587,4.575,4148.56,0.73
19/04/2020,57.809,62.572,71.163,4.872,4133.31,1.505
20/04/2020,59.953,64.829,74.524,5.021,4180.749,1.505
21/04/2020,61.983,66.82,78.16,5.226,4243.865,2.0980000000000003
22/04/2020,64.10300000000001,69.29899999999999,81.54,5.226,4293.315,2.44
23/04/2020,66.361,72.485,85.60799999999998,5.635,4355.683,3.193
24/04/2020,68.57300000000001,75.737,89.637,5.9510000000000005,4400.897,3.694
25/04/2020,71.31,75.737,95.926,6.249,4454.496,3.968
26/04/2020,74.251,83.348,101.056,6.379,4489.594,4.8580000000000005
27/04/2020,77.125,83.348,105.713,6.602,4525.099,5.405
28/04/2020,80.203,88.28299999999999,109.998,6.751,4557.7159999999985,6.271
29/04/2020,83.214,91.026,116.916,6.955,4575.831,7.252000000000002
